code_stop,line_salida,trayect_salida,time_salida,time
117,24,4,6:00,6:29
181,1,3,6:38,6:29
361,5,2,6:20,6:29
636,9,4,5:55,6:29
667,24,3,6:00,6:29
703,12,1,6:15,6:29
704,12,1,6:15,6:29
753,14,5,6:00,6:29
837,14,2,6:10,6:29
852,15,2,6:20,6:29
26,24,3,6:00,6:30
29,24,5,6:00,6:30
30,24,5,6:00,6:30
118,24,4,6:00,6:30
119,24,4,6:00,6:30
140,6,1,6:30,6:30
362,5,2,6:20,6:30
754,14,5,6:00,6:30
840,14,2,6:10,6:30
1084,15,2,6:20,6:30
28,24,3,6:00,6:31
29,24,3,6:00,6:31
42,8,1,6:15,6:31
78,7,4,6:30,6:31
79,7,4,6:30,6:31
363,5,2,6:20,6:31
364,5,2,6:20,6:31
408,9,1,6:00,6:31
614,9,1,6:00,6:31
639,9,4,5:55,6:31
705,12,1,6:15,6:31
762,14,5,6:00,6:31
841,14,2,6:10,6:31
1121,7,4,6:30,6:31
9,6,1,6:30,6:32
30,24,3,6:00,6:32
32,24,5,6:00,6:32
43,8,1,6:15,6:32
121,24,4,6:00,6:32
141,6,1,6:30,6:32
213,12,1,6:45,6:32
213,15,1,6:45,6:32
409,9,1,6:00,6:32
845,15,2,6:20,6:32
32,24,3,6:00,6:33
46,8,1,6:15,6:33
80,7,4,6:30,6:33
121,49,1,6:30,6:33
122,24,4,6:00,6:33
140,7,3,6:30,6:33
365,5,2,6:20,6:33
407,9,1,6:00,6:33
413,9,1,6:00,6:33
640,9,4,5:55,6:33
708,12,1,6:15,6:33
770,14,5,6:00,6:33
846,15,2,6:20,6:33
1080,5,2,6:20,6:33
33,24,3,6:00,6:34
33,24,5,6:00,6:34
44,8,1,6:15,6:34
56,55,2,6:20,6:34
81,7,4,6:30,6:34
82,7,4,6:30,6:34
123,24,4,6:00,6:34
141,7,3,6:30,6:34
411,9,1,6:00,6:34
642,9,4,5:55,6:34
673,14,5,6:00,6:34
707,12,1,6:15,6:34
709,12,1,6:15,6:34
710,12,1,6:15,6:34
778,14,5,6:00,6:34
